[2026-05-04 10:31:17] Received on robot/coral: {'frame': 21027, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.641365, 'ymin': 0.482332, 'xmax': 0.908635, 'ymax': 0.626634}]}
[2026-05-04 10:31:17] Received on robot/coral: {'frame': 21028, 'bboxes': []}
[2026-05-04 10:31:17] Received on robot/coral: {'frame': 21029, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.591365, 'ymin': 0.477868, 'xmax': 0.858635, 'ymax': 0.633684}]}
[2026-05-04 10:31:17] Received on robot/coral: {'frame': 21030, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.570849, 'ymin': 0.476575, 'xmax': 0.838119, 'ymax': 0.632391}]}
[2026-05-04 10:31:17] Received on robot/coral: {'frame': 21031, 'bboxes': []}
[2026-05-04 10:31:17] Received on robot/coral: {'frame': 21032, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.0, 'ymin': 0.558952, 'xmax': 1.0, 'ymax': 0.923113}]}
[2026-05-04 10:31:17] Received on robot/coral: {'frame': 21033, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.520849, 'ymin': 0.482332, 'xmax': 0.788119, 'ymax': 0.626634}]}
[2026-05-04 10:31:17] Received on robot/coral: {'frame': 21034, 'bboxes': []}
[2026-05-04 10:31:18] Received on robot/coral: {'frame': 21036, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.470849, 'ymin': 0.476575, 'xmax': 0.738119, 'ymax': 0.632391}]}
[2026-05-04 10:31:18] Received on robot/coral: {'frame': 21037, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.470849, 'ymin': 0.482332, 'xmax': 0.738119, 'ymax': 0.626634}]}
[2026-05-04 10:31:18] Received on robot/coral: {'frame': 21038, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.0, 'ymin': 0.558952, 'xmax': 1.0, 'ymax': 0.923113}]}
[2026-05-04 10:31:18] Received on robot/coral: {'frame': 21039, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.441365, 'ymin': 0.476575, 'xmax': 0.708635, 'ymax': 0.632391}]}
[2026-05-04 10:31:18] Received on robot/coral: {'frame': 21040, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.441365, 'ymin': 0.476575, 'xmax': 0.708635, 'ymax': 0.632391}]}
[2026-05-04 10:31:18] Received on robot/coral: {'frame': 21041, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.430723, 'ymin': 0.482332, 'xmax': 0.678244, 'ymax': 0.626634}, {'id': 1, 'score': 0.675781, 'xmin': 0.0, 'ymin': 0.558952, 'xmax': 1.0, 'ymax': 0.923113}]}
[2026-05-04 10:31:18] Received on robot/coral: {'frame': 21042, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.420849, 'ymin': 0.482332, 'xmax': 0.688119, 'ymax': 0.626634}]}
[2026-05-04 10:31:18] Received on robot/coral: {'frame': 21043, 'bboxes': [{'id': 1, 'score': 0.8125, 'xmin': 0.421756, 'ymin': 0.476575, 'xmax': 0.669277, 'ymax': 0.632391}]}
[2026-05-04 10:31:18] COUNT TRIGGERED! XRP-BOOK (ID: 15) crossed at X:173
[2026-05-04 10:31:19] Received on robot/coral: {'frame': 21044, 'bboxes': [{'id': 1, 'score': 0.675781, 'xmin': 0.401239, 'ymin': 0.476575, 'xmax': 0.648761, 'ymax': 0.632391}]}
